Designator,Mid X,Mid Y,Rotation,Layer
C1,39.225,77.4,0.0,bottom
C10,35.8,82.4,90.0,bottom
C11,30.4,82.4,180.0,bottom
C12,24.58,65.43,0.0,bottom
C13,27.2,65.2,90.0,bottom
C2,55.4,82.2,0.0,bottom
C3,63.0,64.8,180.0,bottom
C4,45.6,67.0,0.0,bottom
C5,38.6,65.625,90.0,bottom
C6,68.6,80.6,270.0,bottom
C7,24.44,79.4,0.0,bottom
C8,22.4,82.4,0.0,bottom
C9,22.45,62.2,0.0,bottom
D1,28.93,79.38,0.0,bottom
D2,34.0,79.4,0.0,bottom
D3,69.3125,83.3,0.0,bottom
F1,20.39,65.45,180.0,bottom
J1,61.42,73.6903,180.0,bottom
J2,23.0,72.2,270.0,top
L1,24.2,67.4,0.0,bottom
L2,24.2,77.4,180.0,bottom
R1,40.2,62.425,270.0,bottom
R10,45.6,65.4,0.0,bottom
R11,39.225,79.0,0.0,bottom
R12,41.8,65.625,270.0,bottom
R13,63.0,67.0,0.0,bottom
R14,38.6,62.4,90.0,bottom
R15,70.25,80.6,270.0,bottom
R16,65.8,65.2,90.0,bottom
R17,55.425,83.8,180.0,bottom
R18,69.425,78.2,180.0,bottom
R19,55.4,79.0,180.0,bottom
R2,55.4,80.6,0.0,bottom
R20,32.825,77.4,180.0,bottom
R3,36.025,77.4,180.0,bottom
R4,55.4,77.4,0.0,bottom
R5,60.925,83.8,0.0,bottom
R6,41.8,62.425,270.0,bottom
R7,40.2,65.625,90.0,bottom
R8,27.2,61.8,270.0,bottom
R9,64.1,83.8,0.0,bottom
RN1,45.7,62.35,180.0,bottom
RN2,39.25,82.0,180.0,bottom
RN3,68.6,65.2,90.0,bottom
U1,32.6,63.4,180.0,bottom
U2,48.0,80.6,180.0,bottom
U3,62.4,80.0,180.0,bottom
U4,54.4,63.8,0.0,bottom
U5,20.5,78.8,0.0,bottom
U6,44.8,72.2,90.0,top
